Sno,Name (Party),Total Assets in Lok Sabha 2024,Total Assets in Lok Sabha 2019,Asset Increase,% Increase in Asset,Remarks
1,Dr Gaddam Ranjith Reddy (INC),"4,35,49,09,793435 Crore+","1,63,46,95,131163 Crore+","2,72,02,14,662272 Crore+",166%,Party in last election was TRS
2,D K Suresh (INC),"5,93,05,25,395593 Crore+","3,38,89,20,717338 Crore+","2,54,16,04,678254 Crore+",75%,
3,Poonamben Hematbhai Maadam (BJP),"1,47,70,02,341147 Crore+","42,73,31,03442 Crore+","1,04,96,71,307104 Crore+",246%,
4,Pocha Brahmananda Reddy (YSRCP),"1,47,74,74,610147 Crore+","58,59,32,91158 Crore+","89,15,41,69989 Crore+",152%,
5,Anurag Sharma (BJP),"2,12,07,65,800212 Crore+","1,24,30,60,113124 Crore+","87,77,05,68787 Crore+",71%,
6,P V Midhun Reddy (YSRCP),"1,46,85,01,685146 Crore+","66,50,85,70166 Crore+","80,34,15,98480 Crore+",121%,
7,Rao Inderjit Singh (BJP),"1,21,54,22,868121 Crore+","42,09,70,75442 Crore+","79,44,52,11479 Crore+",189%,
8,Ranjeetsingh Hindurao Naik Nimbalkar (BJP),"2,05,82,58,375205 Crore+","1,27,51,60,578127 Crore+","78,30,97,79778 Crore+",61%,
10,Mohammed Badruddin Ajmal (All India United Democratic Front),"1,55,07,16,648155 Crore+","78,80,64,04478 Crore+","76,26,52,60476 Crore+",97%,Party in last election was AIUDF
11,Vincent H. Pala (INC),"1,25,81,59,331125 Crore+","54,95,15,42154 Crore+","70,86,43,91070 Crore+",129%,
12,Nakul Nath (INC),"7,16,94,05,139716 Crore+","6,60,19,46,757660 Crore+","56,74,58,38256 Crore+",9%,
13,Sanjay (Kaka) Patil (BJP),"75,77,76,67275 Crore+","19,11,92,18719 Crore+","56,65,84,48556 Crore+",296%,
14,Nama Nageswara Rao (BRS),"1,55,90,58,791155 Crore+","1,07,46,71,341107 Crore+","48,43,87,45048 Crore+",45%,Party in last election was TRS
15,Maneka Sanjay Gandhi (BJP),"97,17,79,47997 Crore+","55,69,26,45155 Crore+","41,48,53,02841 Crore+",74%,
16,K Navaskani (Indian Union Muslim League),"76,14,30,42076 Crore+","36,47,38,17136 Crore+","39,66,92,24939 Crore+",109%,Party in last election was IUML
17,Lavu Srikrishna Devarayalu (TDP),"56,65,48,46656 Crore+","17,77,10,07317 Crore+","38,88,38,39338 Crore+",219%,Party in last election was YSRCP
19,Balashowry Vallabhaneni (Janasena Party),"1,33,72,14,564133 Crore+","99,05,75,84099 Crore+","34,66,38,72434 Crore+",35%,Party in last election was YSRCP
20,Magunta Sreenivasulu Reddy (TDP),"57,95,39,82057 Crore+","26,65,83,68626 Crore+","31,29,56,13431 Crore+",117%,Party in last election was YSRCP
21,Prajwal Revanna (Janata Dal (Secular)),"40,88,71,06040 Crore+","9,78,48,6329 Crore+","31,10,22,42831 Crore+",318%,Party in last election was JD(S)
22,Kanimozhi Karunanidhi (DMK),"60,40,56,59060 Crore+","30,33,73,13030 Crore+","30,06,83,46030 Crore+",99%,
23,Dm Kathir Anand (DMK),"88,79,65,64388 Crore+","58,75,79,45158 Crore+","30,03,86,19230 Crore+",51%,
24,Shrirang Appa Chandu Barne (Shiv Sena),"1,31,85,91,631131 Crore+","1,02,33,10,134102 Crore+","29,52,81,49729 Crore+",29%,Party in last election was SHS
25,Sangeeta Kumari Singh Deo (BJP),"67,30,60,63067 Crore+","37,95,90,85137 Crore+","29,34,69,77929 Crore+",77%,
26,Nishikant Dubey (BJP),"74,69,74,20874 Crore+","46,27,57,50046 Crore+","28,42,16,70828 Crore+",61%,
28,Raju Bista (BJP),"47,53,57,26847 Crore+","19,53,73,46019 Crore+","27,99,83,80827 Crore+",143%,
29,Supriya Sule (Nationalist Congress Party – Sharadchandra Pawar),"1,66,51,86,348166 Crore+","1,40,88,88,704140 Crore+","25,62,97,64425 Crore+",18%,Party in last election was NCP
30,Krishan Pal (BJP),"62,58,15,84362 Crore+","36,96,52,78636 Crore+","25,61,63,05725 Crore+",69%,
31,Amit Shah (BJP),"65,67,12,49865 Crore+","40,32,75,30740 Crore+","25,34,37,19125 Crore+",63%,
32,T R Baalu (DMK),"45,73,02,05645 Crore+","20,88,06,44620 Crore+","24,84,95,61024 Crore+",119%,
33,Shrimant Chh Udayanraje Pratapsinhamaharaj Bhonsle (BJP),"2,23,12,33,939223 Crore+","1,99,68,13,173199 Crore+","23,44,20,76623 Crore+",12%,Party in last election was NCP
34,B. B. Patil (BJP),"1,51,69,31,855151 Crore+","1,28,78,51,556128 Crore+","22,90,80,29922 Crore+",18%,Party in last election was TRS
35,Ravindra Shukla Alias Ravi Kishan (BJP),"43,32,35,34043 Crore+","20,84,94,68820 Crore+","22,47,40,65222 Crore+",108%,
37,Arvind Dharmapuri (BJP),"1,09,90,20,273109 Crore+","87,69,30,46887 Crore+","22,20,89,80522 Crore+",25%,
38,Y. S. Avinash Reddy (YSRCP),"40,43,01,97340 Crore+","18,69,69,79418 Crore+","21,73,32,17921 Crore+",116%,
39,Shashi Tharoor (INC),"56,06,56,12656 Crore+","35,00,22,58535 Crore+","21,06,33,54121 Crore+",60%,
40,Dr.Kalanidhi Veeraswamy (DMK),"61,06,14,06661 Crore+","40,52,94,71440 Crore+","20,53,19,35220 Crore+",51%,
41,Sudhakar Tukaram Shrangare (BJP),"49,05,71,24949 Crore+","28,64,78,30228 Crore+","20,40,92,94720 Crore+",71%,
42,Annasaheb Shankar Jolle (BJP),"54,76,88,68054 Crore+","34,49,22,83134 Crore+","20,27,65,84920 Crore+",59%,
43,Danve Raosaheb Dadarao (BJP),"42,60,30,65142 Crore+","22,95,57,99222 Crore+","19,64,72,65919 Crore+",86%,
44,Kamlesh Paswan (BJP),"36,18,30,25936 Crore+","17,17,06,88317 Crore+","19,01,23,37619 Crore+",111%,
46,Ravi Shankar Prasad (BJP),"40,60,98,34540 Crore+","23,52,75,59123 Crore+","17,08,22,75417 Crore+",73%,
47,Karti P Chidambaram (INC),"96,27,44,04896 Crore+","79,37,29,02479 Crore+","16,90,15,02416 Crore+",21%,
48,Sangam Lal Gupta (BJP),"39,49,32,22939 Crore+","24,87,89,51424 Crore+","14,61,42,71514 Crore+",59%,
49,Khalilur Rahaman (AITC),"51,43,46,28351 Crore+","36,83,06,70536 Crore+","14,60,39,57814 Crore+",40%,
50,Manish Tewari (INC),"29,68,42,68829 Crore+","15,46,37,86015 Crore+","14,22,04,82814 Crore+",92%,
51,Kirtivardhan Singh (BJP),"37,07,96,43037 Crore+","23,27,35,28523 Crore+","13,80,61,14513 Crore+",59%,
52,Veena Devi (Lok Janshakti Party(Ram Vilas)),"46,71,70,04946 Crore+","33,72,84,63233 Crore+","12,98,85,41712 Crore+",39%,Party in last election was LJP
53,Dr Shrikant Eknath Shinde (Shiv Sena),"14,92,08,81214 Crore+","1,96,16,5151 Crore+","12,95,92,29712 Crore+",661%,Party in last election was SHS
55,Dr. Sujay Radhakrishna Vikhepatil (BJP),"29,18,88,99929 Crore+","16,86,64,57616 Crore+","12,32,24,42312 Crore+",73%,
56,Rajan Baburao Vichare (ShivSena (Uddhav Balasaheb Thackeray)),"29,72,79,25829 Crore+","18,14,41,46518 Crore+","11,58,37,79311 Crore+",64%,Party in last election was SHS
57,Rahul Ramesh Shewale (Shiv Sena),"13,39,94,85413 Crore+","1,88,81,3631 Crore+","11,51,13,49111 Crore+",610%,Party in last election was SHS
58,G. Kishan Reddy (BJP),"19,22,41,72119 Crore+","8,14,30,7788 Crore+","11,08,10,94311 Crore+",136%,
59,Vijayakumar Alias Vijay Vasanth (INC),"64,27,30,75264 Crore+","53,22,75,97753 Crore+","11,04,54,77511 Crore+",21%,Age Difference=3
60,Kinjarapu Rammohan Naidu (TDP),"23,30,73,56123 Crore+","12,27,91,04212 Crore+","11,02,82,51911 Crore+",90%,
61,Manjulata Mandal (BJD),"14,88,63,36114 Crore+","3,94,17,8913 Crore+","10,94,45,47010 Crore+",278%,
62,Dr. Bharati Pravin Pawar (BJP),"22,85,98,16422 Crore+","12,28,85,34912 Crore+","10,57,12,81510 Crore+",86%,
64,Pralhad Joshi (BJP),"21,09,60,95321 Crore+","11,13,84,44711 Crore+","9,95,76,5069 Crore+",89%,
65,Lokhande Sadashiv Kisan (Shiv Sena),"21,31,91,18721 Crore+","11,37,10,52611 Crore+","9,94,80,6619 Crore+",87%,Party in last election was SHS
66,Manne Srinivas Reddy (BRS),"16,18,35,68616 Crore+","6,33,53,1236 Crore+","9,84,82,5639 Crore+",155%,Party in last election was TRS
67,Nitin Jairam Gadkari (BJP),"28,03,17,32128 Crore+","18,79,16,07518 Crore+","9,24,01,2469 Crore+",49%,
68,Bhartruhari Mahtab (BJP),"19,90,52,79819 Crore+","10,68,94,97610 Crore+","9,21,57,8229 Crore+",86%,Party in last election was BJD
69,Dr.Sanjay Jaiswal (BJP),"29,05,35,12629 Crore+","19,94,04,88519 Crore+","9,11,30,2419 Crore+",46%,
70,Jagdambika Pal (BJP),"19,35,36,62319 Crore+","10,33,66,71010 Crore+","9,01,69,9139 Crore+",87%,
71,Kunwar Pushpendra Singh Chandel (BJP),"25,66,60,89925 Crore+","16,71,59,92416 Crore+","8,95,00,9758 Crore+",54%,
73,Manoj Tiwari (BJP),"32,81,62,60132 Crore+","24,40,67,03124 Crore+","8,40,95,5708 Crore+",34%,PAN is missing this time
74,Ashok Kumar Rawat (BJP),"12,96,70,31812 Crore+","4,87,71,2074 Crore+","8,08,99,1118 Crore+",166%,
75,Kapil Moreshwar Patil (BJP),"49,84,56,70649 Crore+","41,88,50,78141 Crore+","7,96,05,9257 Crore+",19%,
76,Lalubhai Babubhai Patel (BJP),"29,19,80,87429 Crore+","21,39,93,75021 Crore+","7,79,87,1247 Crore+",36%,
77,Arjun Munda (BJP),"16,56,55,05716 Crore+","9,15,07,8659 Crore+","7,41,47,1927 Crore+",81%,
78,Jai Prakash (BJP),"30,39,74,60830 Crore+","23,40,32,62423 Crore+","6,99,41,9846 Crore+",30%,
79,Afzal Ansari (SP),"20,76,82,22420 Crore+","13,79,38,75613 Crore+","6,97,43,4686 Crore+",51%,Party in last election was BSP
80,C N Annadurai (DMK),"20,36,86,31120 Crore+","13,48,97,46613 Crore+","6,87,88,8456 Crore+",51%,
82,Anurag Singh Thakur (BJP),"12,26,63,40612 Crore+","5,67,70,4635 Crore+","6,58,92,9436 Crore+",116%,
83,Ritesh Pandey (BJP),"37,22,35,88737 Crore+","30,72,65,12130 Crore+","6,49,70,7666 Crore+",21%,Age Difference=8Party in last election was BSP
84,Smriti Irani (BJP),"17,57,02,08617 Crore+","11,10,99,60911 Crore+","6,46,02,4776 Crore+",58%,
85,B.Y.Raghavendra (BJP),"73,71,45,31073 Crore+","67,40,91,85167 Crore+","6,30,53,4596 Crore+",9%,
86,Anil Firojiya (BJP),"8,81,59,7668 Crore+","2,64,17,9372 Crore+","6,17,41,8296 Crore+",234%,
87,Jadhav Sanjay ( Bandu ) Haribhau (ShivSena (Uddhav Balasaheb Thackeray)),"10,27,06,52310 Crore+","4,10,40,0114 Crore+","6,16,66,5126 Crore+",150%,Party in last election was SHS
88,Chikhlikar Prataprao Govindrao (BJP),"11,34,87,65611 Crore+","5,21,78,6065 Crore+","6,13,09,0506 Crore+",117%,
89,Satabdi Roy (AITC),"10,92,45,50010 Crore+","4,86,52,7224 Crore+","6,05,92,7786 Crore+",125%,
91,Asaduddin Owaisi (All India Majlis-E-Ittehadul Muslimeen),"23,87,66,04423 Crore+","17,90,44,37617 Crore+","5,97,21,6685 Crore+",33%,Party in last election was AIMIM
92,Raja Amareshwara Naik (BJP),"8,87,92,7128 Crore+","3,06,38,3753 Crore+","5,81,54,3375 Crore+",190%,
93,Om Birla (BJP),"10,62,06,64510 Crore+","4,83,47,7374 Crore+","5,78,58,9085 Crore+",120%,
94,P C Mohan (BJP),"81,30,65,20781 Crore+","75,55,29,30675 Crore+","5,75,35,9015 Crore+",8%,
95,Sumathy T (DMK),"14,86,58,29814 Crore+","9,17,93,4609 Crore+","5,68,64,8385 Crore+",62%,
96,Sanjay Sadashivrao Mandlik (Shiv Sena),"15,11,29,21215 Crore+","9,51,71,8929 Crore+","5,59,57,3205 Crore+",59%,Party in last election was SHS
97,Dharambir Singh (BJP),"11,56,64,42411 Crore+","6,06,42,2056 Crore+","5,50,22,2195 Crore+",91%,
98,Gajendra Singh Shekhawat (BJP),"19,30,27,65819 Crore+","13,80,29,51113 Crore+","5,49,98,1475 Crore+",40%,
100,Adhikari Deepak (Dev) (AITC),"37,13,47,06937 Crore+","31,73,20,57931 Crore+","5,40,26,4905 Crore+",17%,
101,Dayanidhi Maran (DMK),"17,07,70,03717 Crore+","11,67,90,61611 Crore+","5,39,79,4215 Crore+",46%,
102,Ganesh Singh (BJP),"9,46,81,1289 Crore+","4,17,19,0764 Crore+","5,29,62,0525 Crore+",127%,
103,Harish Chandra Alias Harish Dwivedi (BJP),"6,13,60,4626 Crore+","86,62,34486 Lacs+","5,26,98,1185 Crore+",608%,
104,Dharmendra Kashyap (BJP),"7,32,99,7527 Crore+","2,17,66,5022 Crore+","5,15,33,2505 Crore+",237%,
105,Satish Kumar Gautam (BJP),"16,06,24,12516 Crore+","10,95,22,55910 Crore+","5,11,01,5665 Crore+",47%,
106,Navneet Ravi Rana (BJP),"17,55,53,40017 Crore+","12,45,54,65612 Crore+","5,09,98,7445 Crore+",41%,Party in last election was IND
107,Rajiv Ranjan Singh Alias Lalan Singh (JD(U)),"13,82,28,63913 Crore+","8,83,24,8668 Crore+","4,99,03,7734 Crore+",57%,
109,Ve Vaithilingam (INC),"15,72,49,69915 Crore+","10,80,15,54810 Crore+","4,92,34,1514 Crore+",46%,
110,Vijay Kumar Hansdak (JMM),"6,20,11,1686 Crore+","1,29,19,5551 Crore+","4,90,91,6134 Crore+",380%,
111,Bhagirath Choudhary (BJP),"13,38,11,55513 Crore+","8,51,01,7748 Crore+","4,87,09,7814 Crore+",57%,
112,Jadhav Prataprao Ganpatrao (Shiv Sena),"16,42,60,44816 Crore+","11,62,72,96611 Crore+","4,79,87,4824 Crore+",41%,Party in last election was SHS
113,Pankaj Chaudhary (BJP),"41,90,10,50941 Crore+","37,18,27,10937 Crore+","4,71,83,4004 Crore+",13%,
114,Santosh Kumar (JD(U)),"8,80,37,1338 Crore+","4,10,36,2944 Crore+","4,70,00,8394 Crore+",115%,
115,Sandhya Ray (BJP),"9,67,72,8619 Crore+","5,11,08,6605 Crore+","4,56,64,2014 Crore+",89%,
116,Rahul Gandhi (INC),"20,39,61,86220 Crore+","15,88,77,06315 Crore+","4,50,84,7994 Crore+",28%,
118,R. K. Singh (BJP),"12,32,13,77712 Crore+","7,99,71,7207 Crore+","4,32,42,0574 Crore+",54%,
119,Shripad Yesso Naik (BJP),"10,86,83,53310 Crore+","6,57,95,6236 Crore+","4,28,87,9104 Crore+",65%,
120,Akhilesh Yadav (SP),"42,02,62,01542 Crore+","37,78,59,16637 Crore+","4,24,02,8494 Crore+",11%,
121,Pratima Mondal (AITC),"6,89,70,0516 Crore+","2,74,71,6752 Crore+","4,14,98,3764 Crore+",151%,
122,Dr. Amol Ramsing Kolhe (Nationalist Congress Party – Sharadchandra Pawar),"8,42,07,2518 Crore+","4,33,51,5214 Crore+","4,08,55,7304 Crore+",94%,Party in last election was NCP
123,Tejasvi Surya (BJP),"4,10,30,4894 Crore+","13,46,59313 Lacs+","3,96,83,8963 Crore+",2947%,
124,Vishnu Datt Sharma (V.D.Sharma) (BJP),"4,92,62,8584 Crore+","1,05,89,3341 Crore+","3,86,73,5243 Crore+",365%,
125,Vijay Kumar Dubay (BJP),"6,01,74,7866 Crore+","2,18,60,7802 Crore+","3,83,14,0063 Crore+",175%,Age Difference=7PAN is Different
127,Adv Adoor Prakash (INC),"18,09,33,86318 Crore+","14,40,98,61214 Crore+","3,68,35,2513 Crore+",26%,
128,Chandra Prakash Choudhary (AJSU Party),"4,98,49,1824 Crore+","1,34,56,8891 Crore+","3,63,92,2933 Crore+",270%,
129,Rekha Verma (BJP),"6,00,81,2806 Crore+","2,47,35,4882 Crore+","3,53,45,7923 Crore+",143%,
130,Gaurav Gogoi (INC),"4,90,61,1204 Crore+","1,37,27,8341 Crore+","3,53,33,2863 Crore+",257%,
131,Kakoli Ghosh Dastidar (AITC),"7,58,56,8517 Crore+","4,05,31,0184 Crore+","3,53,25,8333 Crore+",87%,
132,R. K. Singh Patel (BJP),"9,09,65,1269 Crore+","5,57,94,0865 Crore+","3,51,71,0403 Crore+",63%,
133,Sushil Kumar Singh (BJP),"20,21,21,47320 Crore+","16,78,95,10916 Crore+","3,42,26,3643 Crore+",20%,
134,Kiren Rijiju (BJP),"4,94,03,2344 Crore+","1,52,79,0001 Crore+","3,41,24,2343 Crore+",223%,
136,Kaushal Kishore (BJP),"8,90,21,0998 Crore+","5,55,30,5615 Crore+","3,34,90,5383 Crore+",60%,
137,Mitesh Patel (Bakabhai) (BJP),"11,04,48,82411 Crore+","7,70,43,0537 Crore+","3,34,05,7713 Crore+",43%,
138,Saptagiri Sankar Ulaka (INC),"7,09,56,6597 Crore+","3,75,87,5603 Crore+","3,33,69,0993 Crore+",89%,
139,K. Sudhakaran (INC),"6,29,79,9196 Crore+","2,96,99,2062 Crore+","3,32,80,7133 Crore+",112%,
140,Gajendra Singh Patel (BJP),"9,98,24,9469 Crore+","6,73,03,9906 Crore+","3,25,20,9563 Crore+",48%,
141,Hans Raj Hans (BJP),"16,33,64,26516 Crore+","13,11,37,73213 Crore+","3,22,26,5333 Crore+",25%,
142,Gaddigoudar Parvatgouda Chandangouda (BJP),"7,58,55,7507 Crore+","4,39,80,6634 Crore+","3,18,75,0873 Crore+",72%,
143,Kunwar Danish Ali (INC),"10,65,91,11610 Crore+","7,49,20,8797 Crore+","3,16,70,2373 Crore+",42%,PAN is DifferentParty in last election was BSP
145,Dr. Rajashree Mallick (BJD),"7,14,23,3297 Crore+","4,00,23,9724 Crore+","3,13,99,3573 Crore+",78%,
146,Sarmistha Sethi (BJD),"4,67,18,4434 Crore+","1,58,37,0821 Crore+","3,08,81,3613 Crore+",195%,
147,Annpurna Devi (BJP),"12,82,82,85712 Crore+","9,76,36,9399 Crore+","3,06,45,9183 Crore+",31%,
148,Janardan Mishra S/O Ramdhar Prasad Mishra (BJP),"5,09,38,8965 Crore+","2,03,59,7502 Crore+","3,05,79,1463 Crore+",150%,
149,Prof S P Singh Baghel (BJP),"10,43,58,69110 Crore+","7,42,74,0367 Crore+","3,00,84,6553 Crore+",41%,
150,Kavitha Maloth (BRS),"4,97,72,2594 Crore+","1,97,31,2691 Crore+","3,00,40,9903 Crore+",152%,Party in last election was TRS
151,Abu Taher Khan (AITC),"3,84,76,1313 Crore+","89,26,61689 Lacs+","2,95,49,5152 Crore+",331%,
152,Ajay Bhatt (BJP),"4,87,14,9884 Crore+","1,96,99,5291 Crore+","2,90,15,4592 Crore+",147%,Age Difference=7
154,Bhamre Subhash Ramrao (BJP),"18,75,91,54818 Crore+","15,86,51,11215 Crore+","2,89,40,4362 Crore+",18%,
155,Pravin Kumar Nishad (BJP),"3,31,11,6533 Crore+","43,00,61443 Lacs+","2,88,11,0392 Crore+",670%,
156,Dinesh Chandra Yadav (JD(U)),"6,62,09,3776 Crore+","3,74,20,9533 Crore+","2,87,88,4242 Crore+",77%,
