14-PC WISE DISTRIBUTION OF VOTES POLLED,,,,,,,,,,,,,,,,,
Uttar Pradesh,370,16,Hathras (SC),1938080,8058,1072753,3668,6257,42,6299,485,241,1083446,0,0,55.67,0.58
Uttar Pradesh,371,17,Mathura,1929550,9580,948995,3488,4527,36,4563,0,417,957463,0,0,49.38,0.48
Uttar Pradesh,372,18,Agra (SC),2072685,3136,1112254,4511,6929,85,7014,483,1114,1125376,2,0,54.21,0.62
Uttar Pradesh,373,19,Fatehpur Sikri,1798823,8491,1021145,5217,7764,29,7793,0,483,1034638,12,0,57.25,0.75
Uttar Pradesh,374,20,Firozabad,1890772,5280,1099937,2080,5273,6,5279,1178,261,1108735,0,0,58.48,0.48
Uttar Pradesh,375,21,Mainpuri,1790797,7254,1046453,2976,4570,12,4582,735,1446,1056192,0,0,58.74,0.43
Uttar Pradesh,376,22,Etah,1700524,3411,1002464,2761,5145,11,5156,924,315,1011620,1,0,59.37,0.51
Uttar Pradesh,377,23,Badaun,2008758,1546,1082109,1093,8553,9,8562,1290,496,1093550,0,0,54.4,0.78
Uttar Pradesh,378,24,Aonla,1891713,1909,1079277,2761,6843,15,6858,613,553,1090062,0,0,57.56,0.63
Uttar Pradesh,379,25,Bareilly,1924434,1733,1110239,3059,6226,34,6260,411,336,1120305,0,0,58.16,0.56
Uttar Pradesh,380,26,Pilibhit,1831699,2262,1149253,4953,6714,27,6741,0,288,1161235,0,0,63.32,0.58
Uttar Pradesh,381,27,Shahjahanpur (SC),2331834,1309,1235136,4276,8449,41,8490,0,845,1248747,0,0,53.52,0.68
Uttar Pradesh,382,28,Kheri,1870170,1054,1201895,3533,7915,16,7931,0,184,1213543,4,0,64.85,0.65
Uttar Pradesh,383,29,Dhaurahra,1719345,634,1102359,2344,7133,11,7144,0,221,1112068,1,0,64.66,0.64
Uttar Pradesh,384,30,Sitapur,1759943,424,1093872,1185,6954,4,6958,437,273,1102725,0,0,62.64,0.63
Uttar Pradesh,385,31,Hardoi (SC),1910485,1294,1088544,2758,8778,36,8814,1570,384,1102070,0,0,57.65,0.8
Uttar Pradesh,386,32,Misrikh (SC),1878195,1603,1041154,2800,7997,32,8029,400,375,1052758,0,0,56,0.76
Uttar Pradesh,387,33,Unnao,2341740,3103,1288572,4246,9430,23,9453,568,712,1303551,2,0,55.59,0.73
Uttar Pradesh,388,34,Mohanlalganj (SC),2187232,2634,1365640,2946,8838,28,8866,1395,511,1379358,1,0,62.99,0.64
Uttar Pradesh,389,35,Lucknow,2172171,1782,1125943,3599,7316,34,7350,2496,834,1140222,0,0,52.45,0.64
Uttar Pradesh,390,36,Rae Bareli,1784314,4417,1028783,2564,7861,11,7872,0,732,1039951,0,0,58.14,0.76
Uttar Pradesh,391,37,Amethi,1796098,2617,967308,3980,9371,12,9383,0,212,980883,0,0,54.53,0.96
Uttar Pradesh,392,38,Sultanpur,1852590,3012,1021679,3195,8500,13,8513,0,744,1034131,0,0,55.73,0.82
Uttar Pradesh,393,39,Pratapgarh,1833312,3436,940435,3962,2869,22,2891,0,98,947386,0,0,51.58,0.31
Uttar Pradesh,394,40,Farrukhabad,1747182,4803,1027434,1995,4350,15,4365,350,900,1035044,0,0,59.08,0.42
Uttar Pradesh,395,41,Etawah (SC),1828498,5991,1024392,3126,6229,37,6266,0,370,1034154,0,0,56.37,0.61
Uttar Pradesh,396,42,Kannauj,1988925,4691,1209480,3535,4805,13,4818,796,342,1218971,0,0,61.14,0.4
Uttar Pradesh,397,43,Kanpur,1662859,1935,877994,5285,4048,69,4117,0,552,887948,0,0,53.34,0.46
Uttar Pradesh,398,44,Akbarpur,1869167,6745,1072295,7009,7523,126,7649,0,1036,1087989,0,0,58,0.7
Uttar Pradesh,399,45,Jalaun (SC),2006161,4422,1115828,1967,11138,16,11154,0,259,1129208,0,0,56.16,0.99
Uttar Pradesh,400,46,Jhansi,2161221,1183,1363517,1687,15290,12,15302,657,213,1381376,0,0,63.88,1.11
Uttar Pradesh,401,47,Hamirpur,1839761,1843,1100326,1520,13442,11,13453,1245,364,1116908,1,0,60.65,1.2
Uttar Pradesh,402,48,Banda,1747425,1609,1029705,1192,13226,9,13235,447,322,1044901,2,0,59.74,1.27
Uttar Pradesh,403,49,Fatehpur,1938563,4034,1097364,1460,8108,12,8120,2269,146,1109359,0,0,57.11,0.73
Uttar Pradesh,404,50,Kaushambi (SC),1909620,2916,994969,1393,12958,9,12967,0,780,1010109,0,0,52.82,1.28
Uttar Pradesh,405,51,Phulpur,2067043,4493,1006175,3182,5452,15,5467,0,208,1015032,0,0,49,0.54
Uttar Pradesh,406,52,Allahabad,1825730,2429,935197,1851,9949,3,9952,943,313,948256,0,0,51.87,1.05
Uttar Pradesh,407,53,Barabanki (SC),1918491,791,1280161,2252,8220,1,8221,0,329,1290963,0,0,67.26,0.64
Uttar Pradesh,408,54,Faizabad,1927459,1940,1131565,1560,7529,7,7536,588,440,1141689,0,0,59.17,0.66
Uttar Pradesh,409,55,Ambedkar Nagar,1911297,2459,1167243,2371,7429,19,7448,2315,631,1180008,0,0,61.66,0.63
Uttar Pradesh,410,56,Baharaich (SC),1838684,597,1043317,385,12862,2,12864,0,27,1056593,0,0,57.45,1.22
Uttar Pradesh,411,57,Kaiserganj,1904726,1306,1045895,1317,14872,15,14887,0,206,1062305,0,0,55.73,1.4
Uttar Pradesh,412,58,Shrawasti,1980381,362,1036130,526,9872,0,9872,0,105,1046633,0,0,52.84,0.94
Uttar Pradesh,413,59,Gonda,1843121,752,942544,1285,9048,7,9055,0,418,953302,0,0,51.7,0.95
Uttar Pradesh,414,60,Domariyaganj,1961845,360,1006752,2766,9431,16,9447,3413,207,1022585,0,0,52.11,0.92
Uttar Pradesh,415,61,Basti,1902898,1945,1069680,5429,7742,19,7761,1046,861,1084777,6,0,56.95,0.72
Uttar Pradesh,416,62,Sant Kabir Nagar,2071964,4086,1079540,2435,9210,17,9227,0,990,1092192,0,0,52.61,0.84
Uttar Pradesh,417,63,Maharajganj,2004050,3015,1198992,1714,9730,15,9745,0,53,1210504,0,0,60.31,0.81
Uttar Pradesh,418,64,Gorakhpur,2097202,4544,1143732,3000,7652,29,7681,0,561,1154974,0,0,54.95,0.67
Uttar Pradesh,419,65,Kushi Nagar,1875222,1740,1069936,765,9774,8,9782,0,227,1080710,0,0,57.58,0.91
Uttar Pradesh,420,66,Deoria,1873821,3406,1030178,2918,10203,9,10212,0,432,1043740,1,0,55.6,0.98
Uttar Pradesh,421,67,Bansgaon (SC),1820854,4857,932702,3040,9006,15,9021,501,596,945860,0,0,51.81,0.95
Uttar Pradesh,422,68,Lalganj (SC),1838882,2228,992359,3985,7075,19,7094,0,714,1004152,0,0,54.54,0.71
Uttar Pradesh,423,69,Azamgarh,1868165,3781,1042737,5549,6211,23,6234,0,594,1055114,1057,1,56.36,0.59
Uttar Pradesh,424,70,Ghosi,2083928,6709,1143974,3098,3487,31,3518,0,152,1150742,0,0,55.04,0.31
Uttar Pradesh,425,71,Salempur,1776982,7430,906181,3632,7520,29,7549,0,260,917622,0,0,51.42,0.82
Uttar Pradesh,426,72,Ballia,1923645,13350,993801,5334,8167,20,8187,0,404,1007726,0,0,52.03,0.81
Uttar Pradesh,427,73,Jaunpur,1977237,1767,1090656,4803,6301,28,6329,2260,828,1104876,0,0,55.83,0.57
Uttar Pradesh,428,74,Machhlishahr (SC),1940605,3158,1047695,3065,9277,26,9303,1434,574,1062071,0,0,54.64,0.88
Uttar Pradesh,429,75,Ghazipur,2074883,13753,1139919,4110,9033,32,9065,1305,439,1154838,0,0,55.29,0.78
Uttar Pradesh,430,76,Chandauli,1843196,7351,1104482,3012,8987,18,9005,3013,326,1119838,2,0,60.51,0.8
Uttar Pradesh,431,77,Varanasi,1997578,2283,1118618,3047,8463,15,8478,1422,253,1131818,0,0,56.59,0.75
Uttar Pradesh,432,78,Bhadohi,2037925,2016,1070475,3289,11222,7,11229,0,749,1085742,5,0,53.22,1.03
Uttar Pradesh,433,79,Mirzapur,1906327,3121,1088857,1499,15043,6,15049,0,40,1105445,0,0,57.89,1.36
Uttar Pradesh,434,80,Robertsganj (SC),1779189,1539,989440,1073,19019,13,19032,1638,409,1011592,0,0,56.81,1.88
Uttar Pradesh,State Total,,,154103670,299442,87040156,234631,634978,1877,636855,47295,38606,87997543,1106,1,56.99,0.72
West Bengal,435,1,Coochbehar (SC),1966893,3850,1600338,7147,15510,53,15563,0,1586,1624634,6,0,82.44,0.96
West Bengal,436,2,Alipurduars (ST),1773252,5211,1393362,6729,21235,63,21298,0,896,1422285,16,0,79.97,1.5
West Bengal,437,3,Jalpaiguri (SC),1885963,3877,1555188,6353,16807,41,16848,5833,1666,1585888,17,0,83.92,1.06
West Bengal,438,4,Darjeeling,1765744,11154,1301771,7620,17960,61,18021,446,3146,1331004,12,5,74.91,1.35
West Bengal,439,5,Raiganj,1790245,1329,1362072,4459,1924,16,1940,0,884,1369355,18,1,76.43,0.14
West Bengal,440,6,Balurghat,1561966,1975,1226234,3637,7430,7,7437,1683,1025,1240016,16,0,79.29,0.6
West Bengal,441,7,Maldaha Uttar,1862035,2250,1406563,3738,7257,31,7288,889,563,1419041,0,0,76.12,0.51
West Bengal,442,8,Maldaha Dakshin,1782159,2248,1361793,5199,2759,38,2797,1670,455,1371914,5,0,76.88,0.2
West Bengal,443,9,Jangipur,1805360,2196,1349827,2648,17135,23,17158,0,276,1369909,0,0,75.79,1.25
West Bengal,444,10,Baharampur,1783078,6346,1373507,3778,7474,11,7485,1719,1201,1387690,0,0,77.55,0.54
West Bengal,445,11,Murshidabad,1888097,2492,1525967,2322,13249,21,13270,0,195,1541754,6,0,81.55,0.86
West Bengal,446,12,Krishnanagar,1755631,6968,1409088,9813,6754,57,6811,0,1269,1426981,1,0,80.96,0.48
West Bengal,447,13,Ranaghat (SC),1871658,5941,1522198,8541,9798,95,9893,0,1660,1542292,0,0,82.14,0.64
West Bengal,448,14,Bangaon (SC),1836374,4918,1481257,5166,6635,50,6685,0,572,1493680,5,0,81.12,0.45
West Bengal,449,15,Barrackpur,1508728,3373,1126776,4002,11043,39,11082,0,649,1142509,0,0,75.56,0.97
West Bengal,450,16,Dum dum,1699656,1226,1243205,5507,11256,78,11334,0,795,1260841,0,0,74.13,0.9
West Bengal,451,17,Barasat,1905400,2204,1509699,5010,17834,58,17892,0,1961,1534562,0,0,80.44,1.17
West Bengal,452,18,Basirhat,1804261,1613,1513899,4254,5229,19,5248,2019,661,1526081,0,0,84.51,0.34
West Bengal,453,19,Jaynagar (SC),1844780,583,1467612,5231,9756,32,9788,0,1425,1484056,0,0,80.42,0.66
West Bengal,454,20,Mathurapur (SC),1817068,1045,1481737,5656,8593,38,8631,0,1657,1497681,3,0,82.38,0.58
West Bengal,455,21,Diamond harbour,1880779,773,1514089,6540,10134,54,10188,0,470,1531287,4,0,81.38,0.67
West Bengal,456,22,Jadavpur,2033525,726,1550891,8203,7316,99,7415,1252,1241,1569002,7,0,77.13,0.47
West Bengal,457,23,Kolkata Dakshin,1849520,595,1232077,4977,6348,75,6423,0,1063,1244540,0,0,67.27,0.52
West Bengal,458,24,Kolkata Uttar,1505356,330,945462,2927,10004,40,10044,0,123,958556,2,0,63.66,1.05
West Bengal,459,25,Howrah,1769184,789,1258818,2894,10036,48,10084,0,762,1272558,0,0,71.9,0.79
West Bengal,460,26,Uluberia,1741438,950,1375749,3727,11263,55,11318,2307,1056,1394157,0,0,80.01,0.81
West Bengal,461,27,Sreerampur,1926645,1611,1456874,4624,14964,70,15034,0,598,1477130,11,0,76.6,1.02
West Bengal,462,28,Hooghly,1858067,2036,1498698,5461,13250,102,13352,0,561,1518072,26,0,81.61,0.88
West Bengal,463,29,Arambag (SC),1883266,1735,1536319,4729,17981,50,18031,1361,748,1561188,4,0,82.82,1.15
West Bengal,464,30,Tamluk,1850741,2622,1559991,9063,8223,42,8265,491,717,1578527,42,0,85.17,0.52
West Bengal,465,31,Kanthi,1794537,3121,1511317,11546,8075,59,8134,0,1298,1532295,7,0,85.24,0.53
West Bengal,466,32,Ghatal,1939945,2368,1580561,7029,12889,77,12966,663,1061,1602280,7,0,82.49,0.81
West Bengal,467,33,Jhargram (ST),1779794,2641,1467931,6992,15871,49,15920,1756,1102,1493701,18,0,83.8,1.07
West Bengal,468,34,Medinipur,1811243,1962,1462292,6847,12362,62,12424,2720,1666,1485949,3,0,81.95,0.84
West Bengal,469,35,Purulia,1823120,2505,1410725,5364,17871,58,17929,677,1321,1436016,6,0,78.66,1.25
West Bengal,470,36,Bankura,1780580,4558,1411680,9785,26126,83,26209,0,2494,1450168,0,0,81.24,1.81
West Bengal,471,37,Bishnupur (SC),1754268,4213,1487889,6851,19062,70,19132,0,763,1514635,5,0,86.13,1.26
West Bengal,472,38,Bardhaman Purba (SC),1801333,1907,1479794,4819,12654,43,12697,0,1628,1498938,7,0,83.12,0.85
West Bengal,473,39,Bardhaman-Durgapur,1851780,1556,1472452,7726,21532,63,21595,743,314,1502830,2,0,81.09,1.44
West Bengal,474,40,Asansol,1770281,1594,1280884,5146,15448,62,15510,643,243,1302426,0,0,73.51,1.19
West Bengal,475,41,Bolpur (SC),1839234,2958,1498768,7980,21640,82,21722,0,1427,1529897,3,0,83.05,1.42
West Bengal,476,42,Birbhum,1857022,2425,1507011,6328,14037,56,14093,0,778,1528210,0,0,82.19,0.92
West Bengal,State Total,,,76010006,114774,59712365,246368,522724,2230,524954,26872,43976,60554535,259,6,79.55,0.87
Chhattisgarh,477,1,SURGUJA (ST),1819347,1533,1424957,2191,28107,14,28121,430,378,1456077,6,0,79.97,1.93
Chhattisgarh,478,2,RAIGARH (ST),1838547,2300,1434715,3228,14993,29,15022,0,577,1453542,6,0,78.96,1.03
Chhattisgarh,479,3,JANJGIR-CHAMPA (SC),2056047,2213,1382098,5005,5098,39,5137,1858,855,1394953,23,0,67.77,0.37
Chhattisgarh,480,4,KORBA,1618864,1187,1216757,2459,6076,21,6097,1199,422,1226934,8,0,75.73,0.5
Chhattisgarh,481,5,BILASPUR,2102687,1250,1355195,3306,2842,7,2849,3382,394,1365126,18,0,64.88,0.21
Chhattisgarh,482,6,RAJNANDGAON,1868021,1208,1434987,1225,9152,15,9167,2108,401,1447888,16,0,77.46,0.63
Chhattisgarh,483,7,DURG,2090414,2137,1533943,3227,5596,21,5617,644,430,1543861,26,0,73.78,0.36
Chhattisgarh,484,8,RAIPUR,2375379,651,1577826,4481,4414,34,4448,4876,380,1592011,35,0,67,0.28
Chhattisgarh,485,9,MAHASAMUND,1762477,1221,1318333,3907,3801,39,3840,0,361,1326441,39,0,75.21,0.29
Chhattisgarh,486,10,BASTAR (ST),1472207,1603,967863,2774,36733,25,36758,1006,522,1008923,31,0,68.46,3.64
Chhattisgarh,487,11,KANKER (ST),1654440,4934,1241535,5225,18618,51,18669,789,1333,1267551,4,0,76.39,1.47
Chhattisgarh,State Total,,,20658430,20237,14888209,37028,135430,295,135725,16292,6053,15083307,212,0,72.94,0.9
Jharkhand,488,1,Rajmahal (ST),1704671,1037,1188556,11476,18119,98,18217,0,371,1218620,0,0,71.44,1.49
Jharkhand,489,2,Dumka (ST),1591061,1131,1170228,9378,4453,73,4526,632,387,1185151,0,0,74.44,0.38
Jharkhand,490,3,Godda,2028154,2290,1384250,9593,4309,52,4361,3083,1654,1402941,5,0,69.1,0.31
Jharkhand,491,4,Chatra,1689926,2772,1066021,11849,8435,76,8511,1929,986,1089296,0,0,64.35,0.78
Jharkhand,492,5,Kodarma,2205318,2527,1318703,9109,42089,63,42152,2219,908,1373091,0,0,62.19,3.07
Jharkhand,493,6,Giridih,1864660,2103,1247078,11711,5927,117,6044,542,171,1265546,0,0,67.79,0.48
Jharkhand,494,7,Dhanbad,2285237,5117,1407508,13145,7202,152,7354,3557,393,1431957,0,0,62.52,0.51
Jharkhand,495,8,Ranchi,2197331,5197,1424813,14815,8046,107,8153,3235,1180,1452196,0,0,65.93,0.56
Jharkhand,496,9,Jamshedpur,1869278,2110,1257135,13168,7105,221,7326,1026,581,1279236,2,0,68.36,0.57
Jharkhand,497,10,Singhbhum (ST),1447562,1909,975977,7638,23907,75,23982,3584,578,1011759,0,0,69.8,2.37
Jharkhand,498,11,Khunti (ST),1326138,3285,902911,11852,21814,105,21919,2698,867,940247,3,0,70.73,2.33
Jharkhand,499,12,Lohardaga (ST),1441302,6923,943394,12347,11304,80,11384,2970,1567,971662,0,0,67.09,1.17
Jharkhand,500,13,Palamu (SC),2243034,5048,1349511,16884,24226,117,24343,0,1297,1392035,0,0,61.92,1.75
Jharkhand,501,14,Hazaribagh,1939374,3397,1242003,15464,7090,110,7200,0,788,1265455,0,0,65.14,0.57
Jharkhand,State Total,,,25833046,44846,16878088,168429,194026,1446,195472,25475,11728,17279192,10,0,66.77,1.13
Uttarakhand,502,1,Tehri Garhwal,1577664,12862,839499,15084,7304,154,7458,1457,3276,866774,9,0,54.5,0.86
Uttarakhand,503,2,Garhwal,1369388,34845,705337,20719,11224,151,11375,1170,7609,746210,1,0,53.14,1.52
Uttarakhand,504,3,Almora (SC),1339327,29105,635715,15763,16697,322,17019,489,6028,675014,1,0,49.33,2.52
Uttarakhand,505,4,Nainital-Udhamsingh Nagar,2015809,10629,1245731,9854,10233,198,10431,3220,2430,1271666,9,0,62.75,0.82
Uttarakhand,506,5,Haridwar,2035726,5746,1286568,9227,6665,163,6828,340,1554,1304517,4,0,63.9,0.52
Uttarakhand,State Total,,,8337914,93187,4712850,70647,52123,988,53111,6676,20897,4864181,24,0,57.69,1.09
Telangana,507,1,Adilabad (ST),1650175,2219,1208332,15503,11650,112,11762,1539,1182,1238318,7,0,74.94,0.95
Telangana,508,2,Peddapalle (SC),1596430,1462,1077224,12360,5591,120,5711,652,725,1096672,1,0,68.63,0.52
Telangana,509,3,Karimnagar,1797150,1018,1297074,10340,5373,65,5438,1243,479,1314574,1,0,73.11,0.41
Telangana,510,4,Nizamabad,1704867,724,1221775,7323,4440,43,4483,0,414,1233995,2,0,72.35,0.36
Telangana,511,5,Zahirabad,1641410,1015,1222094,11522,2933,44,2977,0,84,1236677,0,0,75.3,0.24
Telangana,512,6,Medak,1828210,507,1368314,13308,4582,35,4617,0,972,1387211,5,0,75.86,0.33
Telangana,513,7,Malkajgiri,3779596,857,1901979,18498,13206,160,13366,4018,601,1938462,1,0,51.28,0.69
Telangana,514,8,Secunderabad,2120401,149,1033949,8544,5092,74,5166,665,280,1048604,8,0,49.45,0.49
Telangana,515,9,Hyderabad,2217094,211,1070677,6741,2867,39,2906,1417,137,1081878,33,0,48.79,0.27
Telangana,516,10,Chevella,2938370,687,1649865,19066,6313,110,6423,549,221,1676124,0,0,57.03,0.38
Telangana,517,11,Mahbubnagar,1682470,1239,1214037,7711,4286,44,4330,529,953,1227560,1,0,72.91,0.35
Telangana,518,12,Nagarkurnool (SC),1738254,1056,1200764,13879,4511,69,4580,2131,332,1221686,2,0,70.24,0.37
Telangana,519,13,Nalgonda,1725465,739,1271267,18971,5869,217,6086,0,941,1297265,2,0,75.15,0.47
Telangana,520,14,Bhongir,1808585,656,1384008,12742,4571,75,4646,0,325,1401721,0,0,77.48,0.33
Telangana,521,15,Warangal (SC),1824466,1026,1247226,12340,8209,171,8380,737,582,1269265,6,0,69.53,0.66
Telangana,522,16,Mahabubabad (ST),1532366,1492,1093969,8226,6511,80,6591,550,198,1109534,0,0,72.34,0.59
Telangana,523,17,Khammam,1631039,913,1233925,10576,6657,125,6782,553,450,1252286,0,0,76.74,0.54
Telangana,State Total,,,33216348,15970,21696479,207650,102661,1583,104244,14583,8876,22031832,69,0,66.3,0.47
Andaman & Nicobar Islands,524,1,Andaman & Nicobar Islands,315148,597,200190,515,1802,7,1809,0,83,202597,0,0,64.16,0.89
Andaman & Nicobar Islands,State Total,,,315148,597,200190,515,1802,7,1809,0,83,202597,0,0,64.16,0.89
Chandigarh,525,1,Chandigarh,659805,747,445648,715,2900,12,2912,0,108,449383,9,0,68.03,0.65
Chandigarh,State Total,,,659805,747,445648,715,2900,12,2912,0,108,449383,9,0,68.03,0.65
Dadra & Nagar Haveli and Daman & Diu,526,1,Daman & Diu,134189,12,91302,130,977,1,978,0,38,92448,3,0,68.89,1.06
Dadra & Nagar Haveli and Daman & Diu,527,2,Dadar & Nagar Haveli (ST),283024,11,200113,324,5144,7,5151,0,37,205625,0,0,72.65,2.51
Dadra & Nagar Haveli and Daman & Diu,State Total,,,417213,23,291415,454,6121,8,6129,0,75,298073,3,0,71.44,2.06
NCT OF Delhi,528,1,Chandni Chowk,1645958,509,958351,2188,5544,19,5563,0,250,966352,2,0,58.69,0.58
NCT OF Delhi,529,2,North-East Delhi,2463159,1238,1542631,4227,5845,28,5873,643,305,1553679,30,1,63.04,0.38
NCT OF Delhi,530,3,East Delhi,2120584,1026,1256516,2139,5371,23,5394,0,362,1264411,0,0,59.6,0.43
NCT OF Delhi,531,4,New Delhi,1525071,1623,840098,2557,4791,22,4813,0,296,847764,16,0,55.53,0.57
NCT OF Delhi,532,5,North-West Delhi (SC),2567423,1851,1473721,4502,8917,67,8984,2787,328,1490322,17,0,58.01,0.6
NCT OF Delhi,533,6,West Delhi,2587977,4521,1509451,6344,8624,75,8699,0,257,1524751,18,0,58.81,0.57
NCT OF Delhi,534,7,South Delhi,2291764,1934,1287549,2488,5927,34,5961,0,308,1296306,45,0,56.52,0.46
NCT OF Delhi,State Total,,,15201936,12702,8868317,24445,45019,268,45287,3430,2106,8943585,128,1,58.78,0.51
Lakshadweep,535,1,Lakshadweep (ST),57784,169,48498,569,132,1,133,0,47,49247,1,0,84.98,0.27
Lakshadweep,State Total,,,57784,169,48498,569,132,1,133,0,47,49247,1,0,84.98,0.27
Puducherry,536,1,PUDUCHERRY,1023699,325,794733,3444,9756,7,9763,3235,257,811432,5,0,79.24,1.2
Puducherry,State Total,,,1023699,325,794733,3444,9756,7,9763,3235,257,811432,5,0,79.24,1.2
Jammu and Kashmir,537,1,BARAMULLA,1737865,6660,1021584,7332,4873,111,4984,627,195,1034722,3,0,59.31,0.48
Jammu and Kashmir,538,2,SRINAGAR,1747810,993,666046,3198,5887,111,5998,1009,157,676408,4,0,38.68,0.89
Jammu and Kashmir,539,3,ANANTNAG-RAJOURI,1836576,12941,1011553,8372,5967,256,6223,0,272,1026420,2,0,55.5,0.61
Jammu and Kashmir,540,4,UDHAMPUR,1623195,17651,1093581,7208,12891,47,12938,1705,59,1115491,0,0,67.98,1.16
Jammu and Kashmir,541,5,JAMMU,1780835,37822,1281313,16218,4631,14,4645,200,7449,1309825,4,0,72.02,0.35
Jammu and Kashmir,State Total,,,8726281,76067,5074077,42328,34249,539,34788,3541,8132,5162866,13,0,58.65,0.67
Ladakh,542,1,Ladakh,184808,5768,131718,2894,896,16,912,0,138,135662,0,0,71.19,0.67
Ladakh,State Total,,,184808,5768,131718,2894,896,16,912,0,138,135662,0,0,71.19,0.67
,All India Total,,,976049001,1916559,635292105,3698587,6324657,47182,6371839,522513,535825,646420869,9634,23,66.1,0.99
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Note -This report is based on election related data of 542 PCs only excluding data of PC-24:Surat due to unopposed election in the PC. Important Statistical Information of PC - Surat may be seen in Report2A:Highlights(Surat PC).,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Disclaimer,,,,,,,,,,,,,,,,,
These statistical reports are prepared only for academic and research purposes from the secondary data filled in the Index Cards. The primary data is in the statutory forms maintained by the concerned Returning Officers and the data kept in statutory forms is final.,,,,,,,,,,,,,,,,,
